entry_time,exit_time,side,entry_price,exit_price,pnl_pct,net_pnl,result,entry_trigger,exit_trigger,bars_in_trade
2025-12-16 06:15:00+00:00,2025-12-17 02:00:00+00:00,LONG,86416.5,87282.17,1.002,863.6699999999983,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,79
2025-12-17 12:00:00+00:00,2025-12-17 17:00:00+00:00,LONG,87147.88,86660.06,-0.56,-489.820000000007,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,20
2025-12-18 02:30:00+00:00,2025-12-18 17:15:00+00:00,LONG,86698.02,85902.98,-0.917,-797.0400000000081,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,59
2025-12-19 03:15:00+00:00,2025-12-19 17:30:00+00:00,LONG,87146.04,87117.72,-0.032,-30.319999999992433,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,57
2025-12-19 20:45:00+00:00,2025-12-20 10:30:00+00:00,LONG,88099.6,88192.6,0.106,91.0,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,55
2025-12-20 18:45:00+00:00,2025-12-21 01:45:00+00:00,LONG,88313.21,88011.83,-0.341,-303.38000000000466,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,28
2025-12-21 08:15:00+00:00,2025-12-21 13:30:00+00:00,LONG,88259.0,87934.72,-0.367,-326.27999999999884,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,21
2025-12-21 18:45:00+00:00,2025-12-21 21:45:00+00:00,LONG,88445.09,88162.86,-0.319,-284.2299999999959,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,12
2025-12-21 22:00:00+00:00,2025-12-22 17:00:00+00:00,LONG,88370.59,89295.01,1.046,922.4199999999983,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,76
2025-12-23 13:00:00+00:00,2025-12-23 13:45:00+00:00,LONG,87771.89,87616.67,-0.177,-157.22000000000116,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,3
2025-12-23 16:45:00+00:00,2025-12-23 17:45:00+00:00,LONG,88003.63,87180.01,-0.936,-825.6200000000099,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,4
2025-12-23 18:15:00+00:00,2025-12-23 22:00:00+00:00,LONG,87829.5,87483.37,-0.394,-348.13000000000466,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,15
2025-12-24 11:30:00+00:00,2025-12-24 15:00:00+00:00,LONG,87246.24,86904.93,-0.391,-343.3100000000122,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,14
2025-12-24 16:45:00+00:00,2025-12-25 08:15:00+00:00,LONG,87283.23,87446.54,0.187,161.30999999999767,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,62
2025-12-25 14:00:00+00:00,2025-12-25 21:30:00+00:00,LONG,87706.13,87961.87,0.292,253.7399999999907,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,30
2025-12-26 02:15:00+00:00,2025-12-26 11:30:00+00:00,LONG,89020.13,88596.89,-0.475,-425.24000000000524,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,37
2025-12-26 13:15:00+00:00,2025-12-26 14:45:00+00:00,LONG,88770.66,87380.43,-1.566,-1392.2300000000105,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,6
2025-12-27 04:30:00+00:00,2025-12-27 11:30:00+00:00,LONG,87500.0,87483.94,-0.018,-18.05999999999767,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,28
2025-12-27 15:30:00+00:00,2025-12-28 05:30:00+00:00,LONG,87588.0,87676.53,0.101,86.52999999999884,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,56
2025-12-28 08:00:00+00:00,2025-12-28 16:45:00+00:00,LONG,87796.91,87814.04,0.02,15.129999999990105,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,35
2025-12-28 17:00:00+00:00,2025-12-28 17:30:00+00:00,LONG,87904.39,87819.02,-0.097,-87.36999999999534,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2025-12-28 23:30:00+00:00,2025-12-29 09:30:00+00:00,LONG,87821.23,88232.85,0.469,409.6200000000099,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,40
2025-12-30 04:30:00+00:00,2025-12-30 05:30:00+00:00,LONG,87453.72,87239.16,-0.245,-216.55999999999767,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,4
2025-12-30 06:15:00+00:00,2025-12-30 20:00:00+00:00,LONG,87384.88,88131.22,0.854,744.3399999999965,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,55
2025-12-30 22:45:00+00:00,2025-12-31 05:15:00+00:00,LONG,88430.19,88460.34,0.034,28.14999999999418,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,26
2025-12-31 05:30:00+00:00,2025-12-31 15:00:00+00:00,LONG,88526.05,88199.4,-0.369,-328.65000000000873,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,38
2026-01-01 01:30:00+00:00,2026-01-01 04:15:00+00:00,LONG,87886.0,87632.26,-0.289,-255.74000000000524,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,11
2026-01-01 09:15:00+00:00,2026-01-03 05:30:00+00:00,LONG,87836.02,89959.15,2.417,2121.12999999999,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,177
2026-01-03 13:15:00+00:00,2026-01-04 12:30:00+00:00,LONG,89967.14,91096.28,1.255,1127.1399999999994,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,93
2026-01-04 17:00:00+00:00,2026-01-04 18:15:00+00:00,LONG,91349.89,91179.65,-0.186,-172.24000000000524,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,5
2026-01-04 21:00:00+00:00,2026-01-04 21:30:00+00:00,LONG,91360.01,91212.0,-0.162,-150.00999999999476,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2026-01-04 21:45:00+00:00,2026-01-04 22:00:00+00:00,LONG,91279.99,91191.59,-0.097,-90.40000000000873,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,1
2026-01-04 23:15:00+00:00,2026-01-06 00:15:00+00:00,LONG,91372.55,93807.71,2.665,2433.1600000000035,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,100
2026-01-06 11:15:00+00:00,2026-01-06 16:15:00+00:00,LONG,93833.57,92850.61,-1.048,-984.9600000000064,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,20
2026-01-06 21:45:00+00:00,2026-01-07 01:30:00+00:00,LONG,93258.05,92433.01,-0.885,-827.0400000000081,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,15
2026-01-08 01:00:00+00:00,2026-01-08 02:30:00+00:00,LONG,91429.1,90893.62,-0.586,-537.4800000000105,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,6
2026-01-08 15:45:00+00:00,2026-01-09 04:45:00+00:00,LONG,90781.57,91012.8,0.255,229.22999999999593,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,52
2026-01-09 15:15:00+00:00,2026-01-09 19:15:00+00:00,LONG,91680.59,90328.34,-1.475,-1354.25,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,16
2026-01-10 01:30:00+00:00,2026-01-10 03:30:00+00:00,LONG,90724.55,90594.0,-0.144,-132.5500000000029,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,8
2026-01-10 08:00:00+00:00,2026-01-10 14:15:00+00:00,LONG,90708.26,90619.51,-0.098,-90.75,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,25
2026-01-10 17:15:00+00:00,2026-01-10 17:45:00+00:00,LONG,90745.99,90544.96,-0.222,-203.02999999999884,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2026-01-11 01:30:00+00:00,2026-01-11 19:30:00+00:00,LONG,90593.47,90781.02,0.207,185.5500000000029,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,72
